1436864384950;;Speed;0.0
1436864384955;acc:30.0;Location;25.0648464;121.6587782
1436864387548;;Speed;0.0
1436864389360;;Speed;0.0
1436864389682;;Speed;0.0
1436864390060;;Age: 27
1436864390068;;Weight: 95.0
1436864390069;;Gender: Male
1436864390060;;Heart rate;82
1436864390534;;Speed;0.0
1436864390536;acc:6.0;Location;25.0657647;121.6585973
1436864391532;;Speed;1.584
1436864392054;;Heart rate;82
1436864392544;;Speed;1.836
1436864393554;;Speed;4.896
1436864394544;;Speed;5.2200003
1436864394908;;Heart rate;82
1436864395553;;Speed;5.184
1436864396553;;Speed;5.3999996
1436864396904;;Heart rate;82
1436864397557;;Speed;4.428
1436864398602;;Speed;4.356
1436864398920;;Heart rate;82
1436864399015;;Speed;4.356
1436864399638;;Speed;5.436
1436864400597;;Speed;5.364
1436864400905;;Heart rate;84
1436864401540;;Speed;5.976
1436864402558;;Speed;5.508
1436864402903;;Heart rate;86
1436864403550;;Speed;4.7159996
1436864404231;;Speed;4.7159996
1436864404538;;Speed;4.68
1436864404906;;Heart rate;87
1436864405565;;Speed;4.968
1436864406542;;Speed;5.364
1436864406903;;Heart rate;89
1436864407537;;Speed;4.9319997
1436864408581;;Speed;4.896
1436864408922;;Heart rate;90
1436864409310;;Speed;4.896
1436864409535;;Speed;4.68
1436864410594;;Speed;4.536
1436864410913;;Heart rate;91
1436864411589;;Speed;5.184
1436864412612;;Speed;5.6159997
1436864412936;;Heart rate;91
1436864413566;;Speed;5.6159997
1436864414327;;Speed;5.6159997
1436864414558;;Speed;6.984
1436864414909;;Heart rate;92
1436864415578;;Speed;5.256
1436864416627;;Speed;5.688
1436864416914;;Heart rate;93
1436864417595;;Speed;4.896
1436864418597;;Speed;5.6159997
1436864418910;;Heart rate;95
1436864419421;;Speed;5.6159997
1436864419554;;Speed;4.824
1436864420628;;Speed;4.68
1436864420915;;Heart rate;96
1436864421540;;Speed;4.5
1436864422557;;Speed;4.824
1436864422571;acc:4.0;Location;25.0655611;121.658151
1436864422918;;Heart rate;95
1436864423549;;Speed;5.6159997
1436864424557;;Speed;5.256
1436864424906;;Heart rate;97
1436864425586;;Speed;5.328
1436864426561;;Speed;5.832
1436864426928;;Heart rate;98
1436864427627;;Speed;4.788
1436864428595;;Speed;5.256
1436864428924;;Heart rate;96
1436864429562;;Speed;4.6439996
1436864430617;;Speed;4.284
1436864430938;;Heart rate;94
1436864431604;;Speed;4.5
1436864432614;;Speed;4.6439996
1436864432905;;Heart rate;92
1436864433541;;Speed;4.7159996
1436864434231;;Speed;4.7159996
1436864434547;;Speed;4.752
1436864434908;;Heart rate;92
1436864435544;;Speed;5.2200003
1436864436579;;Speed;4.68
1436864436926;;Heart rate;92
1436864437565;;Speed;5.436
1436864438637;;Speed;5.0759997
1436864438907;;Heart rate;92
1436864439310;;Speed;5.0759997
1436864439576;;Speed;3.7079997
1436864440585;;Speed;5.0759997
1436864440926;;Heart rate;93
1436864441578;;Speed;5.256
1436864442616;;Speed;5.0039997
1436864442925;;Heart rate;94
1436864443539;;Speed;4.4639997
1436864444355;;Speed;4.4639997
1436864444585;;Speed;4.572
1436864444923;;Heart rate;95
1436864445595;;Speed;4.5
1436864446608;;Speed;4.896
1436864446922;;Heart rate;96
1436864447655;;Speed;3.924
1436864448542;;Speed;5.292
1436864448908;;Heart rate;96
1436864449328;;Speed;5.292
1436864449556;;Speed;4.824
1436864450578;;Speed;4.788
1436864450923;;Heart rate;97
1436864451585;;Speed;3.4199998
1436864452702;;Speed;2.52
1436864452913;;Heart rate;97
1436864453561;;Speed;4.536
1436864454505;;Speed;4.536
1436864454905;;Heart rate;97
1436864455548;;Speed;5.292
1436864456605;;Speed;4.536
1436864456612;acc:9.0;Location;25.0652894;121.6577437
1436864456932;;Heart rate;97
1436864457595;;Speed;4.9319997
1436864458588;;Speed;5.364
1436864458924;;Heart rate;96
1436864459504;;Speed;5.364
1436864460592;;Speed;4.824
1436864460974;;Heart rate;96
1436864461574;;Speed;5.328
1436864462585;;Speed;5.5439997
1436864462913;;Heart rate;96
1436864463601;;Speed;5.04
1436864464575;;Speed;5.328
1436864464908;;Heart rate;95
1436864465546;;Speed;4.86
1436864466544;;Speed;6.4079995
1436864466908;;Heart rate;95
1436864467591;;Speed;5.2200003
1436864468592;;Speed;5.0759997
1436864468914;;Heart rate;95
1436864469620;;Speed;5.148
1436864469906;;Speed;5.148
1436864470544;;Speed;4.752
1436864470918;;Heart rate;94
1436864471616;;Speed;5.184
1436864472600;;Speed;5.04
1436864472913;;Heart rate;94
1436864473594;;Speed;3.888
1436864474695;;Speed;4.2479997
1436864474903;;Heart rate;93
1436864475589;;Speed;5.184
1436864476599;;Speed;5.0759997
1436864476917;;Heart rate;92
1436864477620;;Speed;5.0039997
1436864478545;;Speed;4.788
1436864478906;;Heart rate;91
1436864479593;;Speed;4.6439996
1436864479808;;Speed;4.6439996
1436864480584;;Speed;4.86
1436864480920;;Heart rate;92
1436864481588;;Speed;4.284
1436864482588;;Speed;5.256
1436864482922;;Heart rate;92
1436864483554;;Speed;5.04
1436864484596;;Speed;5.3999996
1436864484866;;Speed;5.3999996
1436864484903;;Heart rate;92
1436864485605;;Speed;4.9319997
1436864486556;;Speed;5.0759997
1436864486905;;Heart rate;91
1436864487553;;Speed;4.032
1436864488570;;Speed;4.896
1436864488927;;Heart rate;91
1436864489573;;Speed;4.608
1436864489972;;Speed;4.608
1436864490546;;Speed;4.5
1436864490903;;Heart rate;91
1436864491599;;Speed;6.084
1436864492597;;Speed;3.2399998
1436864492923;;Heart rate;92
1436864493589;;Speed;5.508
1436864494583;;Speed;4.5
1436864494906;;Heart rate;91
1436864495115;;Speed;4.5
1436864495598;;Speed;4.4639997
1436864495602;acc:9.0;Location;25.0648426;121.6578176
1436864496588;;Speed;5.5799994
1436864496907;;Heart rate;91
1436864497562;;Speed;4.392
1436864498569;;Speed;3.7079997
1436864498919;;Heart rate;92
1436864499615;;Speed;5.0039997
1436864500368;;Speed;5.0039997
1436864500613;;Speed;4.968
1436864500904;;Heart rate;94
1436864501564;;Speed;4.68
1436864502548;;Speed;5.184
1436864502921;;Heart rate;94
1436864503615;;Speed;0.0
1436864504602;;Speed;4.7159996
1436864504905;;Heart rate;93
1436864505343;;Speed;4.7159996
1436864505540;;Speed;6.084
1436864506553;;Speed;5.9399996
1436864506902;;Heart rate;93
1436864507533;;Speed;4.068
1436864508413;;Speed;4.068
1436864508545;;Speed;5.5799994
1436864508902;;Heart rate;94
1436864509571;;Speed;5.364
1436864510550;;Speed;5.0039997
1436864510911;;Heart rate;95
1436864511544;;Speed;5.508
1436864512554;;Speed;5.328
1436864512909;;Heart rate;95
1436864513549;;Speed;5.148
1436864514550;;Speed;5.4719996
1436864514910;;Heart rate;96
1436864515349;;Speed;5.4719996
1436864515552;;Speed;5.148
1436864516549;;Speed;5.256
1436864516978;;Heart rate;96
1436864517714;;Speed;5.0759997
1436864518875;;Speed;6.192
1436864518903;;Heart rate;96
1436864519536;;Speed;5.2200003
1436864520396;;Speed;5.2200003
1436864520916;;Heart rate;93
1436864521549;;Speed;4.824
1436864522533;;Speed;4.68
1436864522903;;Heart rate;91
1436864523539;;Speed;4.4639997
1436864524544;;Speed;4.968
1436864524910;;Heart rate;90
1436864525533;;Speed;4.752
1436864525797;;Speed;4.752
1436864526538;;Speed;5.5439997
1436864526908;;Heart rate;91
1436864527543;;Speed;5.436
1436864528903;;Heart rate;91
1436864529142;;Speed;5.868
1436864530748;;Speed;5.868
1436864530903;;Heart rate;91
1436864531713;;Speed;5.976
1436864531715;acc:9.0;Location;25.0647611;121.6583367
1436864532630;;Speed;5.2200003
1436864532902;;Heart rate;91
1436864533573;;Speed;5.796
1436864534532;;Speed;5.652
1436864534902;;Heart rate;91
1436864535546;;Speed;5.796
1436864536546;;Speed;4.392
1436864536934;;Heart rate;94
1436864537607;;Speed;3.7439997
1436864538597;;Speed;4.896
1436864538905;;Heart rate;95
1436864539588;;Speed;5.904
1436864540578;;Speed;5.652
1436864540920;;Heart rate;95
1436864541548;;Speed;4.6439996
1436864542600;;Speed;4.4639997
1436864542926;;Heart rate;93
1436864543609;;Speed;5.0039997
1436864544140;;Speed;5.0039997
1436864544543;;Speed;5.292
1436864544905;;Heart rate;92
1436864545575;;Speed;5.0759997
1436864546616;;Speed;5.724
1436864546914;;Heart rate;92
1436864547617;;Speed;5.724
1436864548594;;Speed;4.86
1436864548912;;Heart rate;94
1436864549306;;Speed;4.86
1436864549559;;Speed;4.86
1436864550572;;Speed;5.364
1436864550906;;Heart rate;95
1436864551608;;Speed;4.896
1436864552610;;Speed;5.148
1436864552922;;Heart rate;94
1436864553662;;Speed;4.86
1436864554211;;Speed;4.86
1436864554552;;Speed;5.6159997
1436864554906;;Heart rate;93
1436864555580;;Speed;4.896
1436864556613;;Speed;5.6159997
1436864557559;;Speed;5.04
1436864558548;;Speed;4.896
1436864558920;;Heart rate;91
1436864558983;;Heart rate;91
1436864559229;;Speed;4.896
1436864559542;;Speed;5.688
1436864560610;;Speed;5.5799994
1436864560922;;Heart rate;91
1436864561642;;Speed;5.1119995
1436864562735;;Speed;4.896
1436864562915;;Heart rate;92
1436864563626;;Speed;5.256
1436864564273;;Speed;5.256
1436864564557;;Speed;5.292
1436864564573;acc:9.0;Location;25.0650082;121.6587599
1436864564907;;Heart rate;94
1436864565582;;Speed;5.6159997
1436864566604;;Speed;5.0039997
1436864566922;;Heart rate;94
1436864567564;;Speed;5.652
1436864568600;;Speed;4.572
1436864568923;;Heart rate;94
1436864569556;;Speed;4.608
1436864570623;;Speed;5.0759997
1436864570926;;Heart rate;95
1436864571583;;Speed;5.832
1436864572621;;Speed;4.824
1436864572924;;Heart rate;96
1436864573547;;Speed;4.68
1436864574439;;Speed;4.68
1436864574538;;Speed;5.1119995
1436864574924;;Heart rate;97
1436864575596;;Speed;5.0759997
1436864576602;;Speed;5.148
1436864576912;;Heart rate;96
1436864577578;;Speed;5.292
1436864578629;;Speed;5.3999996
1436864578908;;Heart rate;95
1436864579448;;Speed;5.3999996
1436864579535;;Speed;5.904
1436864580616;;Speed;5.508
1436864581552;;Speed;5.2200003
1436864582612;;Speed;5.0039997
1436864582908;;Heart rate;94
1436864582956;;Heart rate;94
1436864583602;;Speed;5.256
1436864584788;;Speed;5.2200003
1436864584893;;Speed;5.2200003
1436864584904;;Heart rate;95
1436864585588;;Speed;4.5
1436864586594;;Speed;5.724
1436864586920;;Heart rate;96
1436864587606;;Speed;5.0759997
1436864588599;;Speed;4.968
1436864588925;;Heart rate;96
1436864589606;;Speed;5.4719996
1436864590595;;Speed;4.752
1436864590911;;Heart rate;96
1436864591545;;Speed;5.0759997
1436864592585;;Speed;5.04
1436864592907;;Heart rate;96
1436864593598;;Speed;5.1119995
1436864594617;;Speed;4.572
1436864594907;;Heart rate;97
1436864594964;;Speed;4.572
1436864595572;;Speed;5.0039997
1436864596551;;Speed;4.14
1436864596916;;Heart rate;98
1436864597590;;Speed;4.536
1436864598534;;Speed;3.6
1436864598904;;Heart rate;99
1436864599538;;Speed;5.148
1436864600049;;Speed;5.148
1436864600547;;Speed;4.9319997
1436864600906;;Heart rate;99
1436864601545;;Speed;4.968
1436864602756;;Speed;4.428
1436864602761;acc:4.0;Location;25.0653041;121.6591505
1436864602908;;Heart rate;99
1436864603549;;Speed;5.976
1436864604540;;Speed;4.752
1436864604845;;Speed;4.752
1436864604906;;Heart rate;100
1436864605545;;Speed;5.364
1436864606548;;Speed;4.068
1436864606919;;Heart rate;101
1436864607545;;Speed;6.3719997
1436864608540;;Speed;5.0759997
1436864608907;;Heart rate;100
1436864609539;;Speed;4.896
1436864609952;;Speed;4.896
1436864610558;;Speed;4.428
1436864610905;;Heart rate;97
1436864611542;;Speed;3.168
1436864612541;;Speed;5.184
1436864612911;;Heart rate;97
1436864613559;;Speed;5.0039997
1436864614547;;Speed;4.32
1436864614912;;Heart rate;96
1436864615331;;Speed;4.32
1436864615555;;Speed;5.328
1436864616540;;Speed;5.1119995
1436864616911;;Heart rate;96
1436864617552;;Speed;5.256
1436864618549;;Speed;5.3999996
1436864618907;;Heart rate;95
1436864619555;;Speed;5.436
1436864620251;;Speed;5.436
1436864620553;;Speed;5.04
1436864620905;;Heart rate;94
1436864621552;;Speed;4.896
1436864622548;;Speed;5.3999996
1436864622911;;Heart rate;94
1436864623556;;Speed;5.5439997
1436864624570;;Speed;5.508
1436864624907;;Heart rate;93
1436864625424;;Speed;5.508
1436864625557;;Speed;5.868
1436864626563;;Speed;5.7599998
1436864626908;;Heart rate;93
1436864627566;;Speed;9.144
1436864628551;;Speed;5.832
1436864628906;;Heart rate;92
1436864629543;;Speed;5.328
1436864630265;;Speed;5.328
1436864630543;;Speed;5.0039997
1436864630906;;Heart rate;93
1436864631557;;Speed;5.04
1436864632542;;Speed;3.96
1436864632545;acc:3.9;Location;25.0657315;121.6589669
1436864632908;;Heart rate;94
1436864633697;;Speed;5.04
1436864633937;;Speed;5.04
1436864634538;;Speed;5.328
1436864634909;;Heart rate;97
1436864635536;;Speed;5.508
1436864636554;;Speed;5.6159997
1436864636908;;Heart rate;99
1436864637547;;Speed;5.508
1436864638547;;Speed;5.3999996
1436864638905;;Heart rate;99
1436864639538;;Speed;5.364
1436864640264;;Speed;5.364
1436864640569;;Speed;5.256
1436864640903;;Heart rate;100
1436864641561;;Speed;5.04
1436864642549;;Speed;5.976
1436864643534;;Speed;5.184
1436864644542;;Speed;6.2999997
1436864644907;;Heart rate;100
1436864644935;;Heart rate;100
1436864645347;;Speed;6.2999997
1436864645556;;Speed;5.5799994
1436864646548;;Speed;5.4719996
1436864646907;;Heart rate;100
1436864647550;;Speed;5.184
1436864648535;;Speed;5.6159997
1436864648917;;Heart rate;97
1436864649555;;Speed;5.328
1436864650340;;Speed;5.328
1436864650551;;Speed;4.86
1436864650918;;Heart rate;96
1436864651546;;Speed;5.1119995
1436864652536;;Speed;4.428
1436864652908;;Heart rate;95
1436864653542;;Speed;4.788
1436864654556;;Speed;4.788
1436864654909;;Heart rate;97
1436864655361;;Speed;4.788
1436864655565;;Speed;5.976
1436864656569;;Speed;5.688
1436864656904;;Heart rate;96
1436864657557;;Speed;6.192
1436864658550;;Speed;6.048
1436864658905;;Heart rate;96
1436864659543;;Speed;5.508
1436864660407;;Speed;5.508
1436864660903;;Heart rate;93
1436864661541;;Speed;5.796
1436864662548;;Speed;6.3719997
1436864662907;;Heart rate;92
1436864663547;;Speed;5.7599998
1436864664549;;Speed;5.5799994
1436864664905;;Heart rate;91
1436864665467;;Speed;5.5799994
1436864666546;;Speed;5.796
1436864666908;;Heart rate;92
1436864667555;;Speed;6.2279997
1436864668559;;Speed;5.6159997
1436864668907;;Heart rate;94
1436864669563;;Speed;5.436
1436864670489;;Speed;5.436
1436864670911;;Heart rate;95
1436864671568;;Speed;5.832
1436864671573;acc:9.0;Location;25.0656851;121.6584528
1436864672552;;Speed;5.9399996
1436864672908;;Heart rate;95
1436864673549;;Speed;4.9319997
1436864674254;;Speed;4.9319997
1436864674564;;Speed;5.148
1436864674912;;Heart rate;95
1436864675548;;Speed;5.904
1436864676551;;Speed;5.5799994
1436864676905;;Heart rate;94
1436864677560;;Speed;5.148
1436864678546;;Speed;5.184
1436864678905;;Heart rate;94
1436864679500;;Speed;5.184
1436864679542;;Speed;5.436
1436864680546;;Speed;5.148
1436864680906;;Heart rate;95
